title,link,company,salary,location
Senior Data Engineer,https://www.ycombinator.com/companies/tovala/jobs/e8jKO4i-senior-data-engineer,Tovala,,"Chicago, IL"
Lead Manufacturing Engineer,https://www.ycombinator.com/companies/isono-health/jobs/QzLjpZG-lead-manufacturing-engineer,Isono Health,$70K - $140K,South San Francisco
Senior Software Engineer,https://www.ycombinator.com/companies/isono-health/jobs/oNuuvEXnq-senior-software-engineer,Isono Health,3+ years,"South San francisco, CA / Remote (US)"
"Research Scientist, Voice",https://www.ycombinator.com/companies/deepgram/jobs/0wGOyli-research-scientist-voice,Deepgram,$150K - $230K,US / Remote (US)
Staff Software Engineer,https://www.ycombinator.com/companies/lattice/jobs/wpthM41v8-staff-software-engineer,Lattice,6+ years,Remote
Senior / Staff Video Software Engineer,https://www.ycombinator.com/companies/mux/jobs/rHAoiVh-senior-staff-video-software-engineer,Mux,$195K - $240K,"San Francisco, CA, US / Remote (US)"
Senior Software Engineer (iOS),https://www.ycombinator.com/companies/eight-sleep/jobs/xRg2b83-senior-software-engineer-ios,Eight Sleep,$180K - $210K,"New York, NY, US / San Francisco, CA, US / Boston, MA, US / Remote (US)"
Recruiter,https://www.ycombinator.com/companies/eight-sleep/jobs/ZgOoJDW-recruiter,Eight Sleep,,New York - HQ
Technical Recruiter,https://www.ycombinator.com/companies/eight-sleep/jobs/zbm8uxY-technical-recruiter,Eight Sleep,$130K - $150K,"San Francisco, CA or New York, NY"
Electrical Engineer,https://www.ycombinator.com/companies/eight-sleep/jobs/zSzyeLw-electrical-engineer,Eight Sleep,$160K - $200K,San Francisco
Lifecycle Marketing Manager,https://www.ycombinator.com/companies/eight-sleep/jobs/foAysvA-lifecycle-marketing-manager,Eight Sleep,$85K - $100K,Remote - US / Remote (US)
Product Manager,https://www.ycombinator.com/companies/eight-sleep/jobs/PCa2ZKc-product-manager,Eight Sleep,$140K - $180K,New York - HQ
Director of Talent ,https://www.ycombinator.com/companies/eight-sleep/jobs/txcv0V9-director-of-talent,Eight Sleep,$180K - $200K,New York - HQ
"Technical Program Manager, Hardware",https://www.ycombinator.com/companies/eight-sleep/jobs/Mrjo9zf-technical-program-manager-hardware,Eight Sleep,$160K - $200K,San Francisco
Director of Business Operations,https://www.ycombinator.com/companies/eight-sleep/jobs/MuVWDOD-director-of-business-operations,Eight Sleep,$150K - $180K,"New York, NY, US"
International Paid Media Manager,https://www.ycombinator.com/companies/eight-sleep/jobs/c7rS15P-international-paid-media-manager,Eight Sleep,,Remote - UK or Europe / Remote (US)
Full Stack Engineer - Web Focus,https://www.ycombinator.com/companies/eight-sleep/jobs/slZD7gD-full-stack-engineer-web-focus,Eight Sleep,$50K - $60K,GB / IT / MX / BR / TR / AR / CL / NL / Remote (GB; IT; MX; BR; TR; AR; CL; NL)
Senior Software Engineer - Backend,https://www.ycombinator.com/companies/eight-sleep/jobs/QASiPxJwd-senior-software-engineer-backend,Eight Sleep,$150K - $220K,"New York, NY / Remote"
MBA Growth Intern ,https://www.ycombinator.com/companies/instawork/jobs/Pv1GbVe-mba-growth-intern,Instawork,,"Chicago, Illinois, United States"
